name	alternative_names	osm_type	osm_id	class	type	lon	lat	place_rank	importance	street	city	county	state	country	country_code	display_name	west	south	east	north	wikidata	wikipedia
Moscow	Москва,Moscou,莫斯科,Moscú,Moskau	node	1686293227	place	city	37.61749759787435	55.750682791364305	16	0.8123162903845261		Moscow		Moscow	Russia	ru	Moscow, Moscow, Moscow, Central Federal District	37.61749759787435	55.750682791364305	37.61749759787435	55.750682791364305		ru:Москва
Saint Petersburg	San Petersburgo,Sankt Petersburg,Санкт-Петербург,Saint-Pétersbourg,聖彼得堡	node	27490597	place	city	30.316228524977337	59.938731725052456	16	0.7277184259103332		Saint Petersburg		Saint Petersburg	Russia	ru	Saint Petersburg, Saint Petersburg, Saint Petersburg, Northwestern Federal District	30.316228524977337	59.938731725052456	30.316228524977337	59.938731725052456		ru:Санкт-Петербург
Yekaterinburg	Iekaterinbourg,Екатеринбург,Jekaterinburg,Ekaterimburgo	node	27503892	place	city	60.60825015499618	56.83910334475364	16	0.6334766171629883		Yekaterinburg		Sverdlovsk Oblast	Russia	ru	Yekaterinburg, Yekaterinburg, Sverdlovsk Oblast, Ural Federal District	60.60825015499618	56.83910334475364	60.60825015499618	56.83910334475364		ru:Екатеринбург
Kazan	Казань,Kasan,喀山,Kazán	node	27504067	place	city	49.12422657755056	55.782354650695716	16	0.6319726203625282		Kazan		Tatarstan	Russia	ru	Kazan, Kazan, Tatarstan, Volga Federal District	49.12422657755056	55.782354650695716	49.12422657755056	55.782354650695716		ru:Казань
Smolensk	Смоленск	relation	3339993	place	city	32.04718123564727	54.77896997183473	16	0.6275517670466244		Smolensk		Smolensk Oblast	Russia	ru	Smolensk, Smolensk Oblast, Central Federal District	31.788326169906608	54.70756022201945	32.2095638268525	54.85037796145036		ru:Смоленск
Kaliningrad	Калининград,加里寧格勒,Kaliningrado	node	27048976	place	city	20.510516521268666	54.70664215216484	16	0.6225300382268656		Калининград		Kaliningrad	Russia	ru	Kaliningrad, Калининград, Kaliningrad, Northwestern Federal District	20.510516521268666	54.70664215216484	20.510516521268666	54.70664215216484		ru:Калининград
Novosibirsk	Nowosibirsk,Novossibirsk,Новосибирск	node	27503928	place	city	82.92344755168973	55.0282214949486	16	0.618185699386452		Novosibirsk	городской округ Новосибирск	Novosibirsk Oblast	Russia	ru	Novosibirsk, Novosibirsk, городской округ Новосибирск, Novosibirsk Oblast, Siberian Federal District	82.92344755168973	55.0282214949486	82.92344755168973	55.0282214949486		ru:Новосибирск
Vladivostok	Владивосток,Wladiwostok,海參崴	node	27503886	place	city	131.88557679663134	43.1150677767099	16	0.6178826808675625		Vladivostok	Владивостокский городской округ	Primorsky Krai	Russia	ru	Vladivostok, Vladivostok, Владивостокский городской округ, Primorsky Krai, Far Eastern Federal District	131.88557679663134	43.1150677767099	131.88557679663134	43.1150677767099		ru:Владивосток
Vladivostok	Владивосток,Wladiwostok	relation	1704857	place	city	131.99662575736275	43.1737167914053	16	0.6178826808675625		Vladivostok	Владивостокский городской округ	Primorsky Krai	Russia	ru	Vladivostok, Владивостокский городской округ, Primorsky Krai, Far Eastern Federal District	131.84045432963933	43.0576136861309	132.2378627387771	43.29002969571609		ru:Владивосток
Volgograd	Волгоград,Volgogrado,Wolgograd	relation	3374767	place	city	44.385763767009415	48.648209914423504	16	0.6000977485328155		Volgograd		Volgograd Oblast	Russia	ru	Volgograd, Volgograd Oblast, South federal district	44.109580672066414	48.40705308857093	44.68987407800418	48.889071697284415		ru:Волгоград
Volgograd	Волгоград,Volgogrado,Wolgograd	node	27504363	place	city	44.5168021943446	48.710676466919296	16	0.6000977485328155		Volgograd		Volgograd Oblast	Russia	ru	Volgograd, Volgograd, Volgograd Oblast, South federal district	44.5168021943446	48.710676466919296	44.5168021943446	48.710676466919296		ru:Волгоград
Irkutsk	Иркутск,Irkoutsk	relation	1430614	place	city	104.32936414026102	52.31327754331311	16	0.5974421749669409		Irkutsk	городской округ Иркутск	Irkutsk Oblast	Russia	ru	Irkutsk, городской округ Иркутск, Irkutsk Oblast, Siberian Federal District	104.05933313245606	52.209435150724815	104.44965196025163	52.420852565022614		ru:Иркутск
Irkutsk	Иркутск,Irkoutsk	node	27505335	place	city	104.28058427937606	52.289597828657605	16	0.5974421749669409		Irkutsk	городской округ Иркутск	Irkutsk Oblast	Russia	ru	Irkutsk, Irkutsk, городской округ Иркутск, Irkutsk Oblast, Siberian Federal District	104.28058427937606	52.289597828657605	104.28058427937606	52.289597828657605		ru:Иркутск
Omsk	Омск	node	27503946	place	city	73.37148827882763	54.99137515151203	16	0.5968631491315863		Омск		Omsk Oblast	Russia	ru	Omsk, Омск, Omsk Oblast, Siberian Federal District	73.37148827882763	54.99137515151203	73.37148827882763	54.99137515151203		ru:Омск
Yaroslavl	Iaroslavl,Jaroslawl,Ярославль	relation	1701435	place	city	39.87519121036055	57.64965136081479	16	0.5965300207968066		Yaroslavl	городской округ Ярославль	Yaroslavl Oblast	Russia	ru	Yaroslavl, городской округ Ярославль, Yaroslavl Oblast, Central Federal District	39.7308513201698	57.52459198245194	40.00333316220048	57.775275176537335		ru:Ярославль
Yaroslavl	Iaroslavl,Jaroslawl,Ярославль	node	27505266	place	city	39.89337047155296	57.626387681923305	16	0.5965300207968066		Yaroslavl	городской округ Ярославль	Yaroslavl Oblast	Russia	ru	Yaroslavl, Yaroslavl, городской округ Ярославль, Yaroslavl Oblast, Central Federal District	39.89337047155296	57.626387681923305	39.89337047155296	57.626387681923305		ru:Ярославль
Krasnodar	克拉斯诺达尔,Краснодар	relation	1477036	place	city	38.966075474160135	45.05989101430414	16	0.5952942077516882		Krasnodar	городской округ Краснодар	Krasnodar Krai	Russia	ru	Krasnodar, городской округ Краснодар, Krasnodar Krai, South federal district	38.84683923364454	44.96795821647801	39.153833059078	45.15185189150588		ru:Краснодар
Krasnodar	克拉斯诺达尔,Краснодар	node	27505129	place	city	38.97571158167054	45.03543287230093	16	0.5952942077516882		Krasnodar	городской округ Краснодар	Krasnodar Krai	Russia	ru	Krasnodar, Krasnodar, городской округ Краснодар, Krasnodar Krai, South federal district	38.97571158167054	45.03543287230093	38.97571158167054	45.03543287230093		ru:Краснодар
Voronezh	Vorónezh,Воронеж,沃罗涅日,Voronej,Woronesch	relation	3536492	place	city	39.18601961728115	51.678725312105115	16	0.594572219918375		Voronezh		Voronezh Oblast	Russia	ru	Voronezh, Voronezh Oblast, Central Federal District	39.01323375795999	51.48486563802293	39.659647890901084	51.90261918927669		ru:Воронеж
Voronezh	Vorónezh,Воронеж,Voronej,Woronesch	node	27505044	place	city	39.21294894578017	51.65487963576676	16	0.594572219918375		Voronezh		Voronezh Oblast	Russia	ru	Voronezh, Voronezh, Voronezh Oblast, Central Federal District	39.21294894578017	51.65487963576676	39.21294894578017	51.65487963576676		ru:Воронеж
Sochi	Сочи,Sotchi,Sotschi	relation	1430508	place	city	39.588373359757114	43.70780118424265	16	0.5927423428640028		Sochi	городской округ Сочи	Krasnodar Krai	Russia	ru	Sochi, городской округ Сочи, Krasnodar Krai, South federal district	39.149369695638114	43.38484394039619	40.00905884025832	44.030946937091485		ru:Сочи
